Month,credit_amount,credit_term,Age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,target
10,7000,6,25,0,Secondary special education,1,0,0,21000,1,0,0,0
10,19000,3,54,0,Secondary special education,3,1,1,17000,1,3,0,0
1,29000,2,36,0,Secondary special education,1,0,2,31000,1,2,0,0
11,10000,6,46,0,Secondary special education,0,1,1,31000,1,3,0,0
4,14500,4,39,0,Higher education,1,0,1,26000,1,0,0,0
5,32500,8,43,0,Secondary special education,0,0,1,26000,0,0,0,0
7,8000,2,51,0,Higher education,1,0,1,21000,1,0,0,0
1,20000,17,26,0,Higher education,0,0,2,33000,1,2,0,0
8,26000,5,23,0,Secondary special education,0,0,1,31000,1,2,0,0
10,15000,6,54,0,Secondary special education,2,1,1,26000,1,3,0,0
11,30000,3,35,1,Secondary special education,1,1,2,18000,1,0,1,0
5,30500,4,34,0,Secondary special education,0,1,1,21000,1,1,1,0
9,37000,2,29,0,Secondary special education,2,1,1,51000,0,3,0,0
5,37000,2,25,0,Higher education,1,0,1,71000,1,1,0,0
4,29500,16,40,1,Higher education,0,0,1,16000,1,0,0,0
10,28500,5,22,1,Higher education,1,0,1,36000,1,2,0,0
2,22000,4,46,0,Secondary special education,0,0,2,,0,2,1,1
5,13000,4,22,0,Higher education,1,0,1,19000,1,1,0,0
12,51000,4,38,0,Secondary special education,0,0,1,21000,0,1,0,0
6,13500,6,21,0,Incomplete higher education,0,0,1,21000,1,1,0,0
9,10000,16,27,0,Secondary special education,1,1,0,21000,1,0,0,0
2,30000,16,41,1,Secondary education,0,1,6,26000,1,2,0,1
4,28000,6,35,0,Secondary special education,1,1,1,16000,1,2,0,0
5,14000,6,50,1,Secondary special education,3,0,7,24000,1,1,1,1
1,30000,7,29,0,Secondary special education,1,1,1,31000,1,0,1,0
2,25000,9,33,0,Higher education,0,1,2,41000,1,1,1,0
3,152000,11,51,0,Higher education,2,1,1,56000,1,2,0,0
11,62000,3,31,0,Higher education,0,0,1,41000,1,3,0,0
8,18500,16,31,0,Higher education,0,1,0,36000,0,0,0,0
7,9500,14,41,0,Secondary special education,2,1,1,26000,0,1,0,0
8,24500,16,27,0,Higher education,1,1,8,26000,0,0,0,1
2,26000,17,32,0,Higher education,1,1,2,51000,1,3,1,0
7,15000,4,32,0,Incomplete higher education,0,1,1,36000,1,2,1,0
3,8500,5,56,0,Secondary education,2,1,1,19000,0,1,0,0
6,12000,2,39,1,Secondary special education,0,0,1,21000,1,2,0,0
1,17500,16,23,0,Incomplete higher education,0,0,0,,1,0,0,0
11,17000,16,28,1,Secondary special education,2,0,2,22000,1,1,0,0
2,18000,16,26,0,Secondary education,1,0,1,36000,1,1,0,0
3,15000,16,41,1,Secondary special education,0,0,0,16000,1,0,0,0
10,10500,2,22,0,Higher education,0,1,0,21000,1,1,1,0
11,23500,5,31,0,Secondary special education,1,1,0,19000,1,1,0,0
11,18000,4,25,0,Higher education,0,0,0,46000,0,0,0,0
3,37500,16,47,1,Higher education,2,1,1,51000,0,1,0,0
12,23500,5,29,0,Higher education,1,0,2,31000,1,1,1,0
8,40500,2,25,1,Secondary special education,2,1,3,31000,1,2,0,0
10,28500,5,33,0,Secondary special education,3,1,1,18000,1,1,0,0
5,25500,16,36,1,Higher education,0,0,1,26000,1,0,0,0
9,11000,3,28,0,Secondary special education,0,0,0,,1,2,1,0
2,16000,9,26,0,Secondary special education,1,0,0,26000,1,1,0,0
10,74500,7,42,1,Higher education,0,1,1,51000,1,0,0,0
3,24000,16,26,1,Higher education,0,0,0,41000,1,1,0,0
2,31000,5,32,1,Incomplete higher education,0,0,1,26000,0,0,0,0
8,66500,6,31,0,Secondary special education,0,0,1,111000,1,0,0,0
5,13000,3,38,0,Higher education,1,1,0,19000,1,1,1,1
1,26500,16,28,0,Higher education,0,1,1,26000,1,1,0,0
7,26500,14,21,0,Secondary special education,2,1,2,51000,1,0,0,0
7,35000,3,47,0,Higher education,0,1,1,34000,0,1,0,0
11,8500,9,23,0,Secondary special education,3,0,5,19000,1,3,1,1
12,21000,5,25,1,Higher education,0,1,2,21000,1,0,0,0
7,6500,4,23,0,Secondary special education,1,1,0,19000,1,2,0,0
1,27000,5,21,0,Secondary special education,1,0,1,31000,1,0,0,0
6,8000,2,49,1,Secondary education,0,0,1,,0,3,0,0
11,43000,16,59,1,Secondary special education,0,1,0,19000,0,0,0,0
4,7000,17,40,0,Secondary special education,0,1,2,16000,1,0,0,0
1,15500,3,28,1,Secondary education,2,0,2,19000,1,1,0,0
2,15000,2,21,0,Secondary special education,1,1,0,14000,1,2,0,0
10,84500,2,34,0,Secondary special education,0,1,2,61000,1,1,0,0
5,22000,5,20,1,Incomplete higher education,1,0,1,21000,1,1,0,0
9,24000,16,23,0,Higher education,1,0,2,31000,1,3,0,0
4,9000,17,33,0,Secondary education,2,0,0,31000,1,0,0,0
11,35000,5,25,0,Higher education,1,1,1,11000,1,0,1,0
5,8000,3,26,0,Secondary special education,2,0,1,16000,0,1,0,0
9,15500,5,31,0,Secondary special education,0,0,2,51000,1,0,1,0
7,23500,16,42,0,Higher education,2,0,2,16000,0,0,0,0
3,36000,17,26,0,Higher education,1,0,0,,1,0,0,0
1,34500,2,45,0,Secondary special education,2,1,1,81000,0,1,0,0
2,5000,5,22,0,Secondary special education,0,1,1,31000,1,1,0,0
3,9500,16,28,0,Secondary special education,0,0,2,31000,1,1,0,0
12,29000,2,25,0,Higher education,0,0,1,46000,1,1,0,0
2,17000,17,21,0,Secondary special education,0,0,0,21000,0,2,0,0
7,50000,4,35,1,Secondary special education,0,0,2,21000,1,0,0,0
10,11500,16,21,1,Secondary education,0,1,1,20000,1,2,0,0
10,34500,4,50,0,Higher education,2,1,2,46000,0,0,0,0
7,12000,7,28,1,Higher education,0,0,1,26000,1,1,0,0
9,10500,5,46,0,Secondary special education,0,0,1,16000,0,1,0,0
3,25000,2,30,1,Secondary special education,1,0,2,31000,1,1,1,0
9,31000,3,25,1,Higher education,0,0,1,,1,2,0,0
1,20500,17,31,0,Secondary special education,1,0,0,26000,1,2,1,0
9,6000,3,51,0,Secondary special education,0,0,0,26000,1,1,1,1
9,9000,4,21,0,Secondary special education,1,1,1,36000,1,0,0,0
2,43000,17,51,0,Incomplete higher education,2,0,1,31000,1,3,0,0
10,8000,8,57,1,Secondary special education,0,0,0,20000,1,1,0,0
12,14000,3,25,0,Incomplete higher education,0,0,1,36000,1,3,0,0
7,22500,13,29,0,Secondary special education,2,0,1,13000,0,1,0,0
2,17500,7,41,1,Higher education,2,0,2,39000,0,2,0,0
7,17500,3,44,1,Secondary special education,0,0,1,16000,1,0,0,0
11,29500,3,32,0,Secondary education,2,0,7,,0,0,1,1
4,50000,16,48,1,Secondary special education,2,0,1,21000,1,0,0,0
1,31500,4,26,0,Secondary education,0,1,0,26000,1,1,0,0
4,37000,3,37,1,Higher education,0,1,1,36000,0,0,0,0
9,17000,8,44,0,Secondary special education,0,0,2,26000,1,0,0,0
12,11000,7,26,1,Secondary special education,1,1,1,31000,1,1,1,0
10,19500,3,57,0,Higher education,3,0,1,28000,1,2,0,0
4,41000,5,32,0,Higher education,0,1,1,26000,1,0,0,0
11,11000,6,23,0,Secondary special education,1,0,0,21000,1,0,0,0
5,31000,16,37,0,Secondary special education,0,0,1,,1,1,0,0
7,28000,5,24,1,Higher education,0,0,2,30000,1,1,0,0
7,20500,8,33,0,Secondary special education,0,1,0,21000,0,0,0,0
10,79000,4,24,0,Secondary special education,0,0,1,46000,1,2,0,0
1,25000,16,36,0,Secondary special education,0,1,2,41000,1,0,1,0
2,116000,3,36,1,Higher education,2,1,1,36000,0,3,0,0
6,18500,11,45,0,Secondary special education,0,1,0,31000,0,1,0,0
10,41000,2,32,1,Secondary special education,2,0,1,41000,0,3,0,0
7,10000,2,24,0,Incomplete higher education,1,0,1,21000,1,1,0,0
7,8000,4,46,0,Higher education,2,0,1,,0,3,0,0
10,26500,16,41,0,Secondary education,2,0,2,26000,0,1,0,0
1,36000,4,44,0,Higher education,0,1,1,31000,0,1,0,0
3,29000,5,45,0,Secondary special education,0,0,2,31000,1,0,0,0
4,21000,3,54,0,Higher education,2,0,1,26000,1,1,0,0
5,31000,13,28,0,Higher education,1,0,1,36000,1,3,1,0
11,14500,7,31,1,Incomplete higher education,0,0,1,16000,1,0,0,0
4,20000,16,47,0,Secondary education,0,1,1,21000,0,0,0,0
1,13500,2,60,0,Higher education,2,0,0,26000,1,1,0,0
1,6500,9,39,0,Secondary special education,0,0,1,26000,1,0,0,0
2,26000,8,34,1,Secondary special education,0,0,0,,1,2,0,1
1,8000,4,48,0,Secondary education,2,0,1,21000,0,0,0,0
7,48000,3,27,1,Higher education,1,1,1,26000,1,1,1,0
7,30500,4,35,0,Secondary special education,0,0,1,26000,0,2,0,0
7,31500,4,45,1,Secondary special education,0,0,2,42000,1,1,0,0
5,29500,9,47,0,Secondary special education,0,0,0,23000,0,1,0,0
10,53500,3,30,0,Higher education,0,0,2,21000,1,1,0,0
2,37000,8,43,0,Higher education,2,0,1,51000,0,1,0,0
9,43000,16,27,0,Secondary special education,0,0,1,29000,1,2,0,0
1,18000,4,22,1,Secondary education,1,1,1,,1,0,0,0
10,30000,6,34,0,Secondary special education,0,0,0,41000,0,2,0,1
3,26500,2,54,0,Higher education,3,0,1,29000,1,1,0,0
2,35500,7,44,1,Higher education,0,0,1,51000,1,2,0,0
2,17500,7,58,0,Secondary special education,2,1,1,31000,1,0,0,0
4,10500,4,27,0,Secondary special education,1,0,2,21000,1,2,1,0
1,16000,2,42,0,Secondary special education,2,0,0,21000,1,1,0,0
2,8500,2,24,0,Secondary special education,3,0,0,36000,1,2,1,1
11,14500,16,37,0,Secondary special education,2,1,1,,1,1,0,0
12,31000,9,54,0,Secondary special education,2,0,1,10000,2,1,1,1
1,13500,16,38,0,Secondary special education,0,1,1,13000,1,1,1,0
6,15000,15,57,0,Secondary special education,2,1,2,21000,0,3,0,0
7,9500,3,40,0,Secondary education,0,1,0,14000,0,0,0,0
5,35500,5,22,0,Higher education,1,0,1,41000,1,1,0,0
3,11000,16,57,0,Higher education,4,1,2,26000,1,1,0,0
4,34000,16,28,0,Higher education,1,1,2,24000,1,1,1,0
4,11000,2,50,0,Secondary special education,4,0,2,,1,1,0,0
9,20500,5,48,0,Secondary special education,2,0,1,26000,0,1,0,0
11,9000,6,30,0,Secondary special education,1,0,1,19000,1,0,1,0
3,20000,11,24,0,Higher education,0,0,2,31000,1,1,0,0
4,57000,16,21,0,Higher education,1,0,1,46000,1,2,0,0
1,38000,2,24,0,Secondary special education,0,1,2,16000,1,3,0,0
5,10000,4,60,0,Higher education,2,0,0,24000,1,1,0,0
7,34000,7,29,0,Secondary special education,1,1,2,,1,1,0,0
7,22000,4,27,0,Secondary special education,0,0,7,24000,1,1,0,1
4,11000,16,36,0,Secondary education,0,1,1,46000,1,1,1,0
1,32500,17,49,0,Higher education,0,1,0,51000,1,3,0,0
8,18000,16,25,0,Higher education,2,1,2,61000,1,0,0,0
8,11000,16,22,1,Secondary special education,1,0,0,24000,1,1,0,0
7,32500,2,45,0,Secondary special education,2,0,8,13000,1,2,1,1
10,43500,16,47,0,Higher education,1,0,1,16000,1,1,0,0
3,19500,3,39,0,Higher education,2,1,0,21000,1,2,0,0
8,53500,7,39,0,Secondary education,2,1,2,,1,2,0,0
2,165000,3,29,0,Secondary special education,2,0,2,51000,1,3,0,0
9,33000,4,37,1,Secondary education,1,1,0,26000,1,1,0,0
5,12500,5,29,0,Secondary education,0,1,2,13000,1,3,0,0
11,14000,4,46,0,Secondary special education,2,1,0,12000,0,1,1,1
7,20000,16,20,1,Secondary education,0,0,0,15000,1,3,0,0
1,6500,3,47,0,Secondary special education,2,1,1,26000,0,1,0,0
10,12500,4,46,0,Secondary education,0,1,1,11000,1,1,0,0
8,22500,3,40,1,Secondary special education,0,0,1,25000,1,0,0,0
7,13500,4,30,0,Higher education,2,0,1,21000,1,0,0,0
10,25500,16,49,0,Incomplete higher education,2,0,1,23000,0,1,0,0
12,18500,4,40,0,Secondary special education,0,1,1,,1,1,0,0
7,46500,4,23,0,Higher education,1,0,1,71000,1,0,0,0
1,22500,7,28,0,Secondary special education,0,1,0,7000,0,1,0,0
4,54000,4,35,0,Higher education,1,0,1,101000,1,3,0,0
12,14000,7,29,0,Secondary special education,0,1,1,21000,1,3,0,0
7,30000,3,60,0,Secondary education,3,0,1,31000,1,1,0,0
5,35000,5,49,0,Secondary special education,0,0,0,61000,0,2,0,0
7,76000,9,40,0,Higher education,0,1,0,61000,0,0,0,0
2,24500,4,35,0,Higher education,0,0,1,27000,0,1,0,0
9,25000,16,27,0,Secondary special education,0,1,1,36000,1,1,0,0
4,37500,9,43,0,Secondary special education,0,0,1,26000,1,0,0,0
6,21000,2,30,0,Secondary special education,2,0,1,24000,0,0,0,0
11,31500,10,37,0,Secondary education,0,0,1,31000,1,2,0,0
6,38500,4,22,0,Higher education,0,0,1,,1,0,0,0
9,31000,3,20,0,Secondary special education,1,1,5,33000,1,0,0,1
4,5000,3,26,0,Secondary special education,1,1,0,26000,1,1,0,0
3,190500,17,60,1,Secondary special education,2,0,1,171000,1,1,0,0
7,7500,4,21,1,Secondary education,0,1,1,13000,1,0,0,0
2,22500,4,36,0,Secondary special education,1,1,1,26000,1,0,0,0
3,21000,10,33,1,Secondary education,1,0,1,21000,1,2,0,0
8,21000,16,66,0,Higher education,2,0,0,41000,1,3,0,0
2,52500,17,20,0,Higher education,0,0,1,,1,3,0,0
5,27500,4,21,1,Secondary education,2,0,3,29000,1,0,0,0
1,41000,6,34,0,Incomplete higher education,2,0,1,61000,1,1,0,0
5,7000,16,55,0,Secondary education,1,0,2,18000,1,0,1,0
5,8000,8,25,0,Secondary special education,0,0,1,14000,1,1,0,0
7,10000,3,39,0,Higher education,2,1,0,21000,1,0,0,0
3,12000,3,36,0,Secondary special education,0,0,1,29000,1,1,0,0
5,29000,16,41,0,Higher education,0,0,2,56000,1,1,0,0
6,15000,9,26,0,Secondary education,2,0,2,10000,1,3,0,0
1,15000,16,39,0,Higher education,0,0,0,26000,1,1,0,0
5,21500,3,27,0,Secondary special education,1,1,0,,1,1,0,0
4,20000,4,32,0,Secondary special education,0,1,1,36000,1,3,0,0
9,14500,8,47,0,Secondary special education,0,1,1,26000,1,0,0,0
6,10500,4,41,0,Secondary special education,0,0,1,31000,0,0,0,0
3,32000,16,23,1,Higher education,0,1,1,15000,1,2,0,0
6,15500,8,25,0,Secondary education,1,0,0,26000,1,0,0,0
5,30500,5,29,0,Higher education,0,1,2,21000,1,2,0,0
10,45000,2,36,0,Secondary education,1,1,1,29000,1,1,0,0
7,69000,2,48,0,Higher education,0,0,7,26000,2,1,1,1
11,16500,3,37,0,Higher education,1,1,1,22000,1,0,1,0
5,14500,16,29,1,Secondary special education,0,1,1,,1,0,0,0
8,37000,3,21,1,Higher education,0,1,0,101000,0,1,1,1
1,10000,5,21,0,Incomplete higher education,0,1,1,19000,1,0,0,0
12,37500,5,32,0,Secondary education,2,0,1,16000,0,0,0,0
4,10000,3,48,1,Secondary special education,0,0,1,36000,1,1,0,0
5,12500,3,35,1,Higher education,0,1,1,23000,1,2,0,0
10,22500,2,20,0,Secondary special education,1,0,1,,1,0,0,0
2,144500,8,30,0,Higher education,0,0,0,81000,0,1,0,0
5,5500,17,40,1,Secondary special education,0,1,1,31000,1,1,0,0
11,19500,17,34,0,Higher education,0,1,2,21000,1,2,0,0
9,16000,5,32,1,Higher education,2,0,8,35000,2,1,0,1
2,15500,10,24,0,Higher education,0,1,0,26000,1,2,0,0
10,21000,4,21,0,Secondary special education,0,0,2,30000,1,1,0,0
1,21000,2,36,1,Secondary special education,2,1,2,16000,1,1,0,0
7,199000,17,36,1,Higher education,1,0,2,61000,1,1,1,0
2,36000,14,40,0,Secondary special education,3,1,1,21000,1,1,1,1
2,6500,16,31,0,Secondary special education,1,1,1,,1,1,1,0
7,37500,16,58,1,Higher education,2,1,1,13000,1,0,0,0
5,48000,4,48,0,Secondary special education,1,1,1,18000,1,0,0,0
8,29000,16,30,0,Secondary special education,0,0,0,31000,0,1,0,0
9,6500,6,35,0,Higher education,0,1,0,16000,0,1,0,0
7,87000,6,42,0,Secondary special education,0,1,0,26000,0,3,0,0
9,29500,5,30,1,Higher education,0,0,1,16000,1,1,0,0
2,22500,2,32,1,Higher education,0,1,0,21000,1,2,1,1
5,27500,10,24,1,Incomplete higher education,0,1,0,36000,1,2,0,0
5,14000,5,21,0,Higher education,0,1,0,51000,0,2,0,0
4,60000,6,35,0,Higher education,2,0,1,36000,0,1,0,0
4,8000,16,32,1,Secondary special education,1,1,1,,1,1,0,0
6,32500,5,22,0,Higher education,0,1,1,23000,1,1,0,0
7,11000,2,29,0,Incomplete higher education,2,1,2,20000,1,1,0,0
10,23500,14,34,1,Secondary special education,0,1,1,,0,1,0,0
6,29000,4,31,0,Secondary education,1,0,2,31000,1,1,0,0
3,11000,2,40,0,Secondary special education,1,1,0,21000,1,0,0,0
7,13000,16,42,0,Secondary special education,2,0,2,31000,1,3,0,0
5,33500,8,21,1,Higher education,1,0,1,41000,1,0,0,0
12,6500,8,41,0,Secondary special education,0,1,0,21000,0,3,0,0
12,8000,17,52,0,Higher education,0,0,1,31000,0,1,0,0
12,40500,6,33,0,Secondary education,0,1,1,,1,0,0,0
7,14500,5,36,1,Secondary special education,1,0,1,26000,1,1,0,0
5,9000,4,23,0,Higher education,0,1,2,26000,1,1,0,0
1,10500,12,39,0,Secondary special education,1,1,1,24000,1,0,0,0
7,29500,7,41,0,Secondary special education,2,0,0,26000,1,1,0,0
2,28000,4,55,0,Secondary special education,3,0,1,71000,1,0,0,0
3,28000,2,41,1,Incomplete higher education,2,1,1,,0,1,0,0
12,23500,2,67,0,Secondary special education,2,1,1,65000,1,0,0,0
12,12500,10,21,0,Higher education,1,1,0,18000,1,0,0,0
1,148000,3,45,1,Secondary special education,2,1,1,31000,1,3,0,0
7,20000,5,21,0,Higher education,2,1,2,26000,1,0,0,0
4,40000,6,23,0,Secondary special education,1,0,1,41000,1,1,0,0
12,22000,16,38,0,Secondary special education,2,1,1,,0,2,0,0
2,21000,16,36,0,Higher education,1,0,1,16000,1,0,0,0
1,12500,3,46,1,Secondary education,2,1,1,21000,1,1,0,0
9,35500,4,24,1,Secondary special education,0,1,1,21000,1,1,0,0
10,164000,17,61,0,Higher education,3,1,1,,1,0,0,0
9,22000,16,35,0,Higher education,2,1,1,23000,0,1,0,0
8,28000,6,43,0,Secondary education,2,0,1,51000,0,0,0,0
10,22000,6,30,1,Secondary special education,0,1,1,41000,1,0,0,0
7,20000,6,36,0,Incomplete higher education,0,0,2,21000,1,1,1,0
1,7000,2,45,0,Secondary education,0,0,2,46000,1,2,0,0
5,16000,3,36,0,Secondary special education,2,0,1,31000,0,1,0,0
7,12500,7,22,0,Secondary education,1,1,7,19000,2,2,0,1
4,18000,16,29,1,Higher education,1,0,1,36000,1,0,1,0
12,16000,5,47,0,Secondary special education,3,1,1,,1,3,0,0
7,23000,4,20,0,Secondary special education,0,0,1,29000,1,2,0,0
4,44000,2,32,0,Secondary special education,2,0,2,26000,1,0,0,0
3,14500,3,23,1,Secondary special education,1,0,1,21000,1,0,0,0
8,16000,16,52,0,Secondary education,3,0,1,36000,1,0,0,1
1,17500,3,37,0,Secondary special education,1,1,1,28000,1,2,0,0
9,19000,8,23,1,Higher education,1,1,0,31000,1,3,0,0
8,133000,5,20,0,Secondary education,1,1,1,51000,1,0,0,0
9,24500,6,32,0,Higher education,2,0,2,,0,1,0,0
9,27500,4,29,0,Higher education,0,0,0,41000,1,0,1,0
12,19500,2,33,1,Incomplete higher education,0,0,0,31000,0,2,0,0
2,29000,17,50,1,Secondary special education,0,0,7,51000,1,0,1,1
1,22000,2,28,0,Secondary special education,0,0,1,20000,1,1,0,0
2,17000,5,36,0,Secondary special education,2,1,1,16000,0,0,0,0
11,30000,5,33,0,Secondary special education,2,1,1,,0,1,0,0
1,27000,16,47,1,Secondary special education,0,1,1,16000,1,1,0,0
12,31000,17,55,0,Secondary special education,2,0,1,31000,1,0,0,0
5,11500,16,45,1,Secondary special education,0,0,7,21000,2,1,1,1
12,25000,13,27,1,Secondary special education,0,1,1,46000,1,0,0,0
11,17500,5,28,1,Incomplete higher education,1,0,1,21000,1,2,0,0
6,22000,8,37,0,Secondary special education,0,1,1,20000,1,1,0,0
4,9500,2,54,0,Secondary special education,0,0,2,19000,0,1,0,0
2,13000,3,45,0,Secondary education,1,1,0,26000,0,2,0,0
2,6000,16,34,1,Secondary special education,1,1,0,23000,1,3,0,0
9,7000,2,43,0,Secondary special education,0,1,1,,1,0,0,0
4,25000,5,35,0,Secondary special education,1,1,1,46000,1,1,1,0
9,24500,2,31,0,Higher education,1,1,1,61000,1,2,0,0
3,8500,12,52,1,Secondary special education,2,1,0,26000,1,3,0,0
7,19500,7,33,0,Secondary special education,1,0,1,18000,1,0,0,0
5,10500,10,29,1,Secondary special education,0,1,1,26000,1,0,0,0
1,30000,3,24,0,Secondary special education,1,0,1,,1,2,0,0
1,25000,4,33,0,Secondary special education,1,0,1,21000,1,1,1,0
5,11000,4,58,0,Secondary special education,0,0,1,24000,0,2,0,0
4,24000,16,26,0,Higher education,2,0,7,27000,0,3,1,1
7,7500,8,32,0,Secondary special education,1,0,2,19000,1,1,1,0
6,31000,2,22,0,Incomplete higher education,2,0,1,31000,1,2,0,0
3,25000,16,34,0,Incomplete higher education,3,1,0,36000,1,1,1,1
5,34000,7,35,0,Secondary special education,2,0,2,31000,1,1,0,0
2,14000,4,24,1,Secondary special education,0,0,0,26000,1,2,0,0
7,12000,16,21,1,Secondary special education,0,1,1,41000,1,0,0,0
1,15000,16,29,0,Higher education,2,1,0,21000,0,0,1,1
2,20500,6,37,1,Secondary special education,0,0,1,41000,1,2,0,0
11,7500,6,30,1,Secondary special education,1,0,1,21000,1,2,0,0
1,15500,6,28,0,Higher education,1,0,1,26000,1,1,0,0
3,11000,5,39,0,Higher education,0,0,1,46000,1,1,0,0
7,34000,6,46,0,Secondary education,1,0,2,16000,1,0,1,0
7,18500,3,31,0,Incomplete higher education,0,1,1,81000,1,2,0,0
2,97000,16,24,1,Higher education,0,1,1,29000,1,1,0,0
10,5500,5,40,0,Secondary special education,0,0,1,19000,1,0,0,0
1,10500,3,33,0,Higher education,0,1,1,51000,1,1,0,0
9,20000,8,42,1,Secondary special education,0,0,2,26000,1,0,1,0
3,18000,6,33,0,Secondary special education,2,0,1,26000,1,0,0,0
3,19000,5,30,1,Secondary special education,1,1,2,27000,1,1,1,0
3,20500,17,31,0,Secondary special education,2,1,2,21000,1,3,0,0
