Region,State,Area,City,Consumer_profile,Product_type,AC_1001_Issue,AC_1002_Issue,AC_1003_Issue,TV_2001_Issue,TV_2002_Issue,TV_2003_Issue,Claim_Value,Service_Centre,Product_Age,Purchased_from,Call_details,Purpose,Fraud
South,Karnataka,Urban,Bangalore,Business,TV,0,0,0,1,2,0,15000,10,60,Manufacturer,0.5,Complaint,1
South,Karnataka,Rural,Bangalore,Business,AC,1,1,0,0,0,0,20000,12,10,Dealer,1,Complaint,0
North,Haryana,Urban,Chandigarh,Personal,AC,0,1,2,0,0,0,18000,14,10,Dealer,1.4,Claim,0
South,Tamil Nadu,Urban,Chennai,Business,TV,0,0,0,1,1,0,12000,16,20,Manufacturer,2,Complaint,0
North East,Jharkhand,Rural,Ranchi,Personal,TV,0,0,0,0,1,2,25000,15,6,Dealer,1.3,Claim,0
North West,Kerala,Urban,Kochi,Personal,TV,0,0,0,2,1,0,12000,14,3,Internet,1.4,Complaint,0
South East,Tamil Nadu,Urban,Chennai,Business,TV,0,0,0,1,1,1,15000,12,4,Manufacturer,1.6,Complaint,0
South West,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,1,1,1,10000,13,5,Dealer,2.6,Claim,0
South,Karnataka,Urban,Bangalore,Business,AC,0,0,1,0,0,0,50000,10,18,Manufacturer,2.4,Claim,0
West,Karnataka,Rural,Bangalore,Business,TV,0,0,0,1,1,1,20000,12,7,Manufacturer,6.5,Claim,0
East,Bihar,Rural,Patna,Personal,AC,0,0,2,0,0,0,25000,13,4,Dealer,0.5,Complaint,0
North,Bihar,Rural,Purnea,Personal,AC,1,1,0,0,0,0,12000,15,21,Internet,1,Complaint,0
North East,Gujarat,Rural,Vadodara,Personal,AC,1,1,0,0,0,0,15000,15,16,Manufacturer,1.5,Claim,0
North West,Karnataka,Urban,Bangalore,Personal,TV,0,0,0,1,1,1,10000,14,9,Dealer,2.5,Complaint,0
South East,Tamil Nadu,Rural,Chennai,Business,TV,0,0,0,1,1,1,50000,12,19,Manufacturer,1.3,Claim,0
South West,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,1,1,1,20000,13,14,Manufacturer,1.4,Claim,0
South,Delhi,Urban,New Delhi,Business,TV,0,0,0,0,0,0,25000,10,18,Dealer,1,Complaint,0
West,Andhra Pradesh,Urban,Hyderabad,Business,AC,0,1,0,0,0,0,12000,12,60,Internet,2.6,Complaint,0
East,Gujarat,Rural,Vadodara,Personal,TV,0,0,0,2,2,2,15000,13,10,Manufacturer,2.4,Claim,0
North,Andhra Pradesh,Rural,Hyderabad,Personal,AC,2,1,2,0,0,0,10000,15,12,Dealer,6.5,Claim,0
North East,Karnataka,Urban,Bangalore,Personal,AC,0,0,0,0,0,0,50000,15,15,Manufacturer,0.5,Claim,0
North West,Kerala,Rural,Kochi,Personal,AC,1,1,1,0,0,0,20000,14,6,Manufacturer,1,Claim,0
South East,Delhi,Urban,New Delhi,Business,TV,0,0,0,1,1,1,25000,12,3,Dealer,1.5,Complaint,0
South West,Tamil Nadu,Rural,Chennai,Business,TV,0,0,0,1,1,1,21000,13,4,Internet,2.5,Complaint,0
South,Delhi,Rural,New Delhi,Business,TV,0,0,0,0,0,0,15000,10,5,Manufacturer,1.3,Complaint,0
West,Kerala,Rural,Kochi,Business,TV,0,0,0,1,1,1,10000,12,18,Dealer,1.4,Claim,0
East,Karnataka,Urban,Bangalore,Personal,AC,0,2,1,0,0,0,13000,13,7,Manufacturer,1.6,Claim,0
North,Andhra Pradesh,Rural,Hyderabad,Personal,TV,0,0,0,0,0,0,20000,15,4,Manufacturer,2.6,Claim,0
North East,Delhi,Urban,New Delhi,Personal,AC,2,1,0,0,0,0,25000,15,21,Dealer,2.4,Complaint,0
North West,Delhi,Urban,New Delhi,Personal,AC,2,0,0,0,0,0,12000,14,16,Internet,6.5,Complaint,0
South East,Kerala,Urban,Kochi,Business,AC,2,2,0,0,0,0,15000,12,9,Dealer,0.5,Complaint,0
South West,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,0,2,0,10000,13,19,Dealer,1,Claim,0
South,Bihar,Urban,Purnea,Business,TV,0,0,0,0,1,0,40000,10,14,Manufacturer,1.5,Claim,1
West,Maharashtra,Rural,Mumbai,Business,TV,0,0,0,0,2,0,20000,12,18,Dealer,2.5,Claim,1
East,Delhi,Urban,New Delhi,Personal,TV,0,0,0,1,1,1,25000,13,60,Dealer,1.3,Complaint,0
North,Bihar,Urban,Purnea,Personal,AC,0,1,1,0,0,0,12000,15,10,Internet,1.4,Complaint,0
North East,Gujarat,Rural,Ahmedabad,Personal,TV,0,0,0,1,1,1,15000,15,12,Manufacturer,1.6,Complaint,1
North West,Gujarat,Urban,Vadodara,Personal,AC,0,1,1,0,0,0,10000,14,15,Dealer,2.6,Claim,0
South East,Maharashtra,Urban,Mumbai,Business,AC,0,0,1,0,0,0,50000,12,6,Dealer,2.4,Claim,0
South West,Kerala,Rural,Kochi,Business,AC,0,2,0,0,0,0,20000,13,3,Manufacturer,6.5,Claim,0
South,Andhra Pradesh,Rural,Hyderabad,Business,TV,0,0,0,0,0,0,25000,10,4,Dealer,0.5,Complaint,0
West,Bihar,Urban,Purnea,Business,TV,0,0,0,0,0,0,12000,12,5,Internet,1,Complaint,0
East,Maharashtra,Urban,Mumbai,Personal,TV,0,0,0,0,0,0,15000,13,18,Dealer,1.5,Complaint,0
North,Andhra Pradesh,Urban,Hyderabad,Personal,TV,0,0,0,0,0,0,10000,15,7,Dealer,2.5,Claim,0
North East,Bihar,Urban,Patna,Personal,AC,0,0,0,0,0,0,50000,15,4,Manufacturer,1.3,Claim,0
North West,Maharashtra,Urban,Mumbai,Personal,TV,0,0,0,0,2,0,20000,14,21,Dealer,1.4,Claim,0
South East,Kerala,Rural,Kochi,Business,AC,0,0,0,0,0,0,25000,12,16,Dealer,1.6,Complaint,0
South West,Maharashtra,Urban,Mumbai,Business,AC,0,0,0,0,0,0,12000,13,9,Internet,2.6,Complaint,0
South,Kerala,Rural,Kochi,Business,AC,0,0,0,0,0,0,15000,10,19,Manufacturer,2.4,Other,0
West,Gujarat,Rural,Ahmedabad,Business,TV,0,0,0,0,0,2,10000,12,14,Dealer,6.5,Other,0
East,Andhra Pradesh,Urban,Hyderabad,Personal,TV,0,0,0,0,1,2,50000,13,18,Manufacturer,0.5,Claim,0
North,Maharashtra,Rural,Pune,Personal,TV,0,0,0,0,0,1,20000,15,60,Dealer,1,Claim,0
North East,Tamil Nadu,Urban,Chennai,Personal,TV,0,0,0,1,0,2,25000,15,10,Dealer,1.5,Complaint,0
North West,Gujarat,Urban,Vadodara,Personal,AC,0,0,1,0,0,0,12000,14,12,Internet,2.5,Claim,0
South East,Kerala,Rural,Kochi,Business,TV,0,0,0,1,0,2,15000,12,15,Dealer,1.3,Complaint,0
South West,Andhra Pradesh,Urban,Hyderabad,Business,AC,1,0,0,0,0,0,10000,13,6,Dealer,1.4,Complaint,0
South,Tamil Nadu,Urban,Chennai,Business,AC,0,0,0,0,0,0,50000,10,3,Manufacturer,1.6,Claim,0
West,Gujarat,Urban,Vadodara,Business,AC,0,0,0,0,0,0,20000,12,4,Dealer,2.6,Claim,0
South,Karnataka,Urban,Bangalore,Business,TV,0,0,0,1,2,0,15000,10,60,Manufacturer,0.5,Complaint,0
South,Karnataka,Urban,Bangalore,Business,AC,0,0,1,0,0,0,50000,10,18,Manufacturer,2.4,Claim,1
West,Karnataka,Rural,Bangalore,Business,TV,0,0,0,1,1,1,20000,12,7,Manufacturer,6.5,Claim,1
North East,Gujarat,Rural,Vadodara,Personal,AC,1,1,0,0,0,0,15000,15,16,Manufacturer,1.5,Complaint,1
South East,Tamil Nadu,Rural,Chennai,Business,TV,0,0,0,1,1,1,50000,12,19,Manufacturer,1.3,Claim,1
South West,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,1,1,1,20000,13,14,Manufacturer,1.4,Claim,1
East,Gujarat,Rural,Vadodara,Personal,TV,0,0,0,2,2,2,15000,13,10,Manufacturer,2.4,Complaint,1
North,Andhra Pradesh,Rural,Hyderabad,Personal,AC,1,1,2,0,0,0,10000,15,12,Dealer,6.5,Claim,0
North West,Kerala,Rural,Kochi,Personal,AC,0,1,1,0,0,0,20000,14,6,Manufacturer,1,Claim,0
South West,Tamil Nadu,Rural,Chennai,Business,TV,0,0,0,1,2,1,21000,13,4,Internet,2.5,Complaint,0
East,Karnataka,Urban,Bangalore,Personal,AC,0,1,1,0,0,0,13000,13,7,Manufacturer,1.6,Claim,0
North,Andhra Pradesh,Rural,Hyderabad,Personal,TV,0,0,0,0,0,0,20000,15,4,Manufacturer,2.6,Claim,1
North East,Delhi,Urban,New Delhi,Personal,AC,1,1,0,0,0,0,25000,15,21,Dealer,2.4,Complaint,0
North West,Delhi,Urban,New Delhi,Personal,AC,1,0,0,0,0,0,12000,14,16,Internet,6.5,Complaint,0
South East,Kerala,Urban,Kochi,Business,AC,1,2,0,0,0,0,15000,12,9,Dealer,0.5,Complaint,1
South,Bihar,Urban,Purnea,Business,TV,0,0,0,0,1,0,40000,10,14,Manufacturer,1.5,Claim,0
East,Delhi,Urban,New Delhi,Personal,TV,0,0,0,0,1,1,25000,13,60,Dealer,1.3,Claim,0
North East,Gujarat,Rural,Ahmedabad,Personal,TV,0,0,0,1,1,1,15000,15,12,Manufacturer,1.6,Complaint,0
North West,Gujarat,Urban,Vadodara,Personal,AC,0,1,1,0,0,0,10000,14,15,Dealer,2.6,Other,0
West,Maharashtra,Rural,Mumbai,Personal,TV,0,0,0,1,2,1,5557,13,153,Internet,30,Complaint,0
East,West Bengal,Urban,Kolkata,Personal,TV,0,0,0,1,2,1,373,14,72,Dealer,30,Claim,0
South,Kerala,Urban,Kochi,Business,AC,0,2,1,0,0,0,2742,10,214,Manufacturer,30,Complaint,0
South East,Andhra Pradesh,Urban,Vizag,Personal,TV,0,0,0,1,2,1,5901,11,370,Dealer,30,Claim,0
West,Maharashtra,Rural,Mumbai,Business,TV,0,0,0,0,2,1,4585,12,821,Manufacturer,17,Complaint,0
South East,Andhra Pradesh,Urban,Vizag,Personal,TV,0,0,0,0,1,0,8386,12,197,Dealer,30,Claim,0
South West,Goa,Rural,Panaji,Business,TV,0,0,0,0,2,1,6610,14,908,Dealer,30,Complaint,0
South East,Andhra Pradesh,Rural,Hyderabad,Personal,TV,0,0,0,0,1,0,3905,13,683,Dealer,19,Claim,0
South East,Andhra Pradesh,Rural,Hyderabad,Personal,AC,1,1,2,0,0,0,7760,13,854,Manufacturer,30,Complaint,0
East,West Bengal,Urban,Kolkata,Personal,TV,0,0,0,1,2,0,7028,14,679,Manufacturer,30,Claim,1
North,Jammu and Kashmir,Urban,Srinagar,Business,TV,0,0,0,1,1,1,5284,15,210,Dealer,30,Claim,0
North,Jammu and Kashmir,Rural,Srinagar,Personal,TV,0,0,0,0,2,0,1571,11,55,Dealer,30,Claim,0
South West,Goa,Urban,Panaji,Business,TV,0,0,0,0,1,1,4000,15,363,Dealer,30,Other,0
South East,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,1,1,0,4805,12,948,Dealer,3,Claim,0
North East,Assam,Urban,Guwhati,Personal,TV,0,0,0,1,2,0,3501,14,43,Dealer,30,Other,1
West,Gujarat,Urban,Ahmedabad,Personal,AC,1,1,2,0,0,0,7755,13,550,Dealer,30,Claim,0
North West,Rajasthan,Urban,Jaipur,Business,AC,1,1,2,0,0,0,6956,11,117,Manufacturer,6,Other,0
South,Karnataka,Urban,Bangalore,Personal,AC,1,1,2,0,0,0,6542,13,271,Dealer,4,Claim,0
South East,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,0,1,0,170,11,371,Dealer,30,Other,0
West,Gujarat,Urban,Ahmedabad,Personal,AC,1,1,2,0,0,0,6993,15,505,Manufacturer,7,Complaint,1
South East,Andhra Pradesh,Rural,Vizag,Personal,AC,0,1,0,0,0,0,4948,13,942,Manufacturer,30,Claim,0
South,Karnataka,Rural,Bangalore,Business,TV,0,0,0,0,2,0,3549,13,199,Internet,30,Other,0
North West,Madhya Pradesh,Rural,Bhopal,Personal,TV,0,0,0,1,1,1,7725,11,960,Manufacturer,30,Other,0
South,Kerala,Urban,Kochi,Personal,TV,0,0,0,1,1,1,4862,10,854,Dealer,30,Claim,0
North,Uttar Pradesh,Urban,Meerut,Business,TV,0,0,0,0,2,0,1656,14,827,Internet,30,Claim,0
South East,Andhra Pradesh,Urban,Hyderabad,Business,AC,1,1,0,0,0,0,4000,15,864,Manufacturer,30,Other,0
East,Bihar,Urban,Patna,Personal,TV,0,0,0,2,1,0,2856,11,625,Internet,8,Other,0
South,Tamil Nadu,Rural,Chennai,Personal,TV,0,0,0,1,2,0,4097,13,23,Internet,30,Other,0
South,Tamil Nadu,Rural,Chennai,Business,TV,0,0,0,2,1,0,5191,10,411,Manufacturer,30,Claim,0
South,Karnataka,Rural,Bangalore,Personal,AC,1,1,0,0,0,0,7778,10,140,Dealer,30,Other,0
North,Delhi,Rural,Delhi,Business,AC,0,1,0,0,0,0,5316,12,872,Manufacturer,30,Claim,0
East,Jharkhand,Urban,Ranchi,Personal,AC,0,1,2,0,0,0,4905,11,613,Manufacturer,30,Claim,0
East,Bihar,Rural,Patna,Personal,AC,1,1,2,0,0,0,970,14,6,Internet,30,Claim,0
North East,Assam,Rural,Guwhati,Personal,AC,0,1,2,0,0,0,4474,12,202,Manufacturer,30,Claim,0
North,Delhi,Rural,Delhi,Personal,TV,0,0,0,1,2,0,4891,14,337,Dealer,30,Complaint,0
North East,Tripura,Rural,Agartala,Personal,AC,0,1,2,0,0,0,4024,12,721,Dealer,30,Complaint,0
North,Himachal Pradesh,Rural,Shimla,Personal,TV,0,0,0,2,1,1,3316,13,804,Internet,30,Claim,0
South East,Andhra Pradesh,Rural,Vizag,Personal,TV,0,0,0,1,1,0,4216,13,522,Internet,30,Claim,0
South,Karnataka,Rural,Bangalore,Business,TV,0,0,0,1,2,1,821,15,933,Dealer,13,Claim,0
West,Maharashtra,Rural,Mumbai,Personal,TV,0,0,0,2,1,1,4504,12,123,Dealer,30,Claim,0
West,Gujarat,Rural,Ahmedabad,Personal,AC,0,1,0,0,0,0,7153,14,444,Dealer,30,Other,0
East,Bihar,Rural,Patna,Personal,TV,0,0,0,1,1,1,3401,13,824,Internet,30,Claim,0
West,Maharashtra,Rural,Mumbai,Personal,TV,0,0,0,2,1,1,5770,14,108,Internet,30,Claim,0
North West,Madhya Pradesh,Rural,Bhopal,Personal,AC,1,1,0,0,0,0,3539,12,126,Internet,30,Other,0
East,West Bengal,Rural,Kolkata,Business,TV,0,0,0,1,2,0,3949,11,556,Internet,30,Complaint,0
South West,Goa,Urban,Panaji,Business,TV,0,0,0,1,1,0,6586,13,35,Dealer,30,Claim,0
South East,Andhra Pradesh,Rural,Hyderabad,Personal,TV,0,0,0,2,2,1,6022,11,112,Manufacturer,14,Claim,0
West,Maharashtra,Rural,Mumbai,Personal,TV,0,0,0,1,1,0,5764,14,377,Dealer,20,Other,0
East,West Bengal,Rural,Kolkata,Personal,TV,0,0,0,2,1,0,2250,14,487,Internet,30,Other,0
West,Gujarat,Rural,Ahmedabad,Personal,AC,2,0,1,0,0,0,5652,10,758,Dealer,30,Claim,0
South,Tamil Nadu,Rural,Chennai,Business,TV,0,0,0,1,2,0,5918,11,705,Dealer,9,Claim,0
West,Maharashtra,Rural,Mumbai,Business,TV,0,0,0,0,1,0,3541,12,391,Manufacturer,27,Complaint,0
South West,Goa,Rural,Panaji,Personal,AC,1,0,0,0,0,0,6449,11,826,Manufacturer,30,Claim,0
East,West Bengal,Urban,Kolkata,Personal,AC,0,1,0,0,0,0,4388,13,309,Manufacturer,30,Complaint,0
East,Bihar,Rural,Patna,Personal,TV,0,0,0,0,1,0,5716.5,13,176,Internet,30,Complaint,0
West,Maharashtra,Rural,Mumbai,Personal,AC,1,0,1,0,0,0,3129,14,94,Dealer,19,Other,0
West,Maharashtra,Rural,Mumbai,Business,AC,0,0,1,0,0,0,5418,14,914,Internet,30,Claim,0
West,Maharashtra,Rural,Mumbai,Personal,TV,0,0,0,1,1,1,7369,11,833,Dealer,30,Claim,0
North,Himachal Pradesh,Urban,Shimla,Personal,AC,0,2,1,0,0,0,5584,11,111,Dealer,4,Other,0
North West,Madhya Pradesh,Rural,Bhopal,Personal,TV,0,0,0,0,2,1,1029,13,154,Dealer,30,Claim,0
West,Maharashtra,Rural,Mumbai,Business,AC,0,1,1,0,0,0,7000,14,961,Dealer,30,Claim,0
West,Maharashtra,Urban,Mumbai,Personal,TV,0,0,0,0,1,1,2961,12,547,Internet,30,Other,0
South,Karnataka,Rural,Bangalore,Personal,TV,0,0,0,1,1,1,5987,11,801,Internet,30,Other,0
East,Bihar,Rural,Patna,Personal,AC,0,2,1,0,0,0,4163,11,383,Dealer,20,Claim,0
South East,Andhra Pradesh,Rural,Hyderabad,Personal,TV,0,0,0,0,1,0,7528,10,968,Internet,30,Complaint,0
West,Maharashtra,Rural,Mumbai,Business,TV,0,0,0,1,2,1,4216,11,626,Internet,30,Complaint,0
West,Gujarat,Urban,Ahmedabad,Personal,TV,0,0,0,1,1,1,7370,13,698,Manufacturer,30,Other,0
North,Delhi,Urban,Delhi,Personal,TV,0,0,0,0,1,0,8344,14,3,Internet,3,Complaint,0
South,Kerala,Urban,Kochi,Personal,AC,0,1,1,0,0,0,2538,12,73,Dealer,30,Claim,0
South,Karnataka,Rural,Bangalore,Personal,TV,0,0,0,1,1,1,5465,12,776,Internet,24,Claim,0
South East,Andhra Pradesh,Rural,Hyderabad,Personal,TV,0,0,0,1,2,1,3149,14,820,Dealer,28,Claim,0
South,Karnataka,Rural,Bangalore,Business,AC,0,1,0,0,0,0,4431,11,27,Internet,30,Complaint,0
West,Maharashtra,Rural,Mumbai,Personal,TV,0,0,0,0,1,1,3998,11,497,Manufacturer,30,Claim,0
West,Gujarat,Rural,Ahmedabad,Business,TV,0,0,0,1,1,0,3589,13,22,Manufacturer,30,Complaint,0
East,West Bengal,Rural,Kolkata,Personal,AC,0,2,1,0,0,0,1388,12,530,Manufacturer,30,Claim,0
West,Maharashtra,Rural,Mumbai,Business,AC,0,1,1,0,0,0,1003,15,576,Dealer,30,Claim,0
South,Tamil Nadu,Rural,Chennai,Personal,TV,0,0,0,1,2,1,1691,13,746,Dealer,30,Other,0
North West,Rajasthan,Rural,Jaipur,Personal,AC,1,1,2,0,0,0,4674,12,727,Manufacturer,30,Complaint,0
South,Karnataka,Urban,Bangalore,Business,TV,0,0,0,1,1,1,10000,10,574,Manufacturer,30,Claim,0
South East,Andhra Pradesh,Urban,Hyderabad,Business,AC,0,1,0,0,0,0,3651,11,388,Internet,30,Claim,1
North West,Madhya Pradesh,Rural,Bhopal,Business,TV,0,0,0,0,1,0,3580,11,219,Dealer,30,Other,0
West,Gujarat,Rural,Ahmedabad,Business,TV,0,0,0,1,1,1,10000,11,408,Dealer,30,Claim,0
South East,Andhra Pradesh,Urban,Vizag,Business,TV,0,0,0,1,2,0,6405,11,790,Manufacturer,30,Complaint,0
South East,Andhra Pradesh,Urban,Vizag,Business,TV,0,0,0,0,1,1,5618,14,289,Dealer,30,Claim,1
South,Kerala,Rural,Kochi,Personal,TV,0,0,0,1,1,0,6732,13,873,Dealer,30,Complaint,1
East,West Bengal,Rural,Kolkata,Personal,TV,0,0,0,1,1,1,6767,12,338,Internet,7,Other,0
East,West Bengal,Urban,Kolkata,Personal,TV,0,0,0,0,2,1,501,10,409,Internet,30,Claim,0
North,Uttar Pradesh,Rural,Meerut,Personal,AC,0,1,0,0,0,0,5821,13,951,Manufacturer,30,Complaint,0
North,Delhi,Urban,Delhi,Business,AC,1,2,0,0,0,0,7235,13,125,Dealer,30,Complaint,0
North,Delhi,Rural,Delhi,Business,TV,0,0,0,1,1,1,4088,13,495,Dealer,30,Claim,0
North,Uttar Pradesh,Rural,Meerut,Personal,AC,2,2,0,0,0,0,4396,13,327,Internet,8,Claim,0
West,Gujarat,Rural,Ahmedabad,Personal,TV,0,0,0,1,1,0,4216,10,672,Dealer,25,Other,0
West,Gujarat,Urban,Ahmedabad,Personal,TV,0,0,0,0,1,1,4000,15,609,Internet,5,Claim,0
East,West Bengal,Urban,Kolkata,Business,TV,0,0,0,1,2,1,5283,11,883,Dealer,12,Claim,0
South,Tamil Nadu,Rural,Chennai,Personal,TV,0,0,0,0,1,1,5033,11,284,Dealer,30,Claim,0
South West,Goa,Urban,Panaji,Personal,AC,0,2,0,0,0,0,4832,14,481,Internet,30,Complaint,0
East,Jharkhand,Rural,Ranchi,Personal,AC,1,1,2,0,0,0,5513,12,991,Dealer,30,Complaint,0
North East,Tripura,Urban,Agartala,Personal,AC,0,1,1,0,0,0,2515,10,748,Manufacturer,30,Other,0
North,Delhi,Rural,Delhi,Personal,TV,0,0,0,1,1,0,4674,13,333,Manufacturer,30,Claim,0
North,Delhi,Urban,Delhi,Personal,TV,0,0,0,0,2,1,2538,14,353,Dealer,30,Complaint,0
South,Karnataka,Urban,Bangalore,Business,AC,0,1,0,0,0,0,2000,15,187,Manufacturer,10,Complaint,0
South,Andhra Pradesh,Urban,Hyderabad,Personal,AC,1,0,0,0,0,0,2000,15,52,Dealer,6,Complaint,0
North West,Rajasthan,Urban,Jaipur,Personal,AC,2,0,0,0,0,0,5000,11,118,Internet,23,Complaint,0
