Region,State,Area,City,Consumer_profile,Product_type,AC_1001_Issue,AC_1002_Issue,AC_1003_Issue,TV_2001_Issue,TV_2002_Issue,TV_2003_Issue,Claim_Value,Service_Centre,Product_Age,Purchased_from,Call_details,Purpose,Fraud
West,Maharashtra,Urban,Mumbai,Personal,TV,0,0,0,2,1,1,9000,14,173,Manufacturer,7,Claim,0
West,Maharashtra,Urban,Mumbai,Personal,TV,0,0,0,1,2,0,7000,14,43,Dealer,17,Claim,0
West,Maharashtra,Urban,Mumbai,Business,TV,0,0,0,2,0,0,5000,14,197,Internet,13,Complaint,0
West,Maharashtra,Urban,Mumbai,Personal,AC,1,0,0,0,0,0,2000,14,304,Internet,20,Claim,1
West,Maharashtra,Urban,Mumbai,Personal,AC,2,0,0,0,0,0,5000,14,167,Manufacturer,9,Complaint,0
West,Maharashtra,Urban,Mumbai,Business,AC,2,0,0,0,0,0,5000,14,49,Internet,22,Complaint,1
West,Maharashtra,Urban,Mumbai,Business,TV,0,0,0,2,0,1,7000,14,293,Manufacturer,13,Complaint,0
West,Maharashtra,Urban,Mumbai,Personal,AC,0,0,0,0,0,0,0,14,332,Manufacturer,20,Complaint,1
West,Maharashtra,Urban,Mumbai,Personal,TV,0,0,0,1,1,0,4000,14,331,Manufacturer,24,Complaint,0
South,Karnataka,Urban,Bangalore,Business,AC,1,0,0,0,0,0,2000,15,329,Dealer,14,Complaint,0
South,Karnataka,Urban,Bangalore,Business,TV,0,0,0,0,1,0,2000,15,315,Internet,23,Complaint,0
South,Karnataka,Urban,Bangalore,Business,AC,2,0,0,0,0,0,5000,15,112,Dealer,15,Complaint,0
South,Karnataka,Urban,Bangalore,Business,TV,0,0,0,2,0,0,5000,15,281,Manufacturer,4,Complaint,0
South,Karnataka,Urban,Bangalore,Personal,AC,1,0,0,0,0,0,2000,15,57,Internet,15,Complaint,0
South,Karnataka,Urban,Bangalore,Personal,TV,0,0,0,1,1,0,4000,15,61,Dealer,20,Complaint,0
South,Karnataka,Urban,Bangalore,Personal,AC,2,2,0,0,0,0,10000,15,349,Internet,21,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,2,2,1,0,0,0,12000,15,244,Manufacturer,4,Complaint,0
South,Tamil Nadu,Urban,Chennai,Business,AC,0,0,0,0,0,0,0,15,281,Internet,19,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,TV,0,0,0,1,1,1,6000,15,343,Internet,7,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,1,1,0,0,0,0,4000,15,80,Manufacturer,12,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,TV,0,0,0,2,0,0,5000,15,323,Dealer,8,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,2,2,1,0,0,0,12000,15,167,Internet,15,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,1,0,0,0,0,0,2000,15,147,Manufacturer,12,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,1,2,0,0,0,0,7000,15,345,Internet,1,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,1,1,0,0,0,0,4000,15,68,Dealer,10,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,1,2,0,0,0,0,7000,15,68,Manufacturer,9,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,0,1,0,0,0,0,2000,15,218,Internet,16,Complaint,0
South,Tamil Nadu,Urban,Chennai,Business,AC,2,2,0,0,0,0,10000,15,35,Internet,11,Claim,0
South,Tamil Nadu,Urban,Chennai,Business,AC,2,0,0,0,0,0,5000,15,152,Dealer,18,Claim,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,1,1,1,0,0,0,6000,15,280,Dealer,21,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,TV,0,0,0,0,0,0,0,15,213,Manufacturer,2,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,TV,0,0,0,2,0,0,5000,15,254,Dealer,9,Claim,0
South,Tamil Nadu,Urban,Chennai,Personal,TV,0,0,0,1,0,0,2000,15,39,Dealer,11,Claim,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,1,1,0,0,0,0,4000,15,36,Internet,5,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,AC,2,2,1,0,0,0,12000,15,233,Manufacturer,21,Claim,0
South East,Orissa,Urban,Bhubaneswar,Personal,AC,1,2,0,0,0,0,7000,12,247,Internet,18,Complaint,0
South East,Orissa,Urban,Bhubaneswar,Personal,TV,0,0,0,0,1,0,2000,12,30,Dealer,8,Claim,0
South East,Orissa,Urban,Bhubaneswar,Personal,AC,0,1,0,0,0,0,2000,12,350,Internet,18,Complaint,0
South East,Orissa,Urban,Bhubaneswar,Personal,TV,0,0,0,1,0,0,2000,12,205,Manufacturer,24,Complaint,0
South East,Orissa,Urban,Bhubaneswar,Personal,AC,2,2,2,0,0,0,15000,12,311,Dealer,4,Claim,0
South East,Orissa,Urban,Bhubaneswar,Personal,TV,0,0,0,2,1,0,7000,12,280,Internet,19,Claim,0
South East,Orissa,Urban,Bhubaneswar,Business,AC,1,1,0,0,0,0,4000,12,233,Dealer,6,Complaint,0
South East,Orissa,Urban,Bhubaneswar,Personal,TV,0,0,0,1,0,1,4000,12,324,Manufacturer,19,Claim,0
South East,Orissa,Urban,Bhubaneswar,Personal,AC,2,2,2,0,0,0,15000,12,22,Dealer,23,Claim,0
South East,Orissa,Urban,Bhubaneswar,Personal,TV,0,0,0,1,1,0,4000,12,282,Internet,15,Complaint,0
South East,Orissa,Urban,Bhubaneswar,Personal,AC,1,1,0,0,0,0,4000,12,347,Internet,6,Claim,0
South East,Orissa,Urban,Bhubaneswar,Business,TV,0,0,0,1,0,0,2000,12,274,Manufacturer,11,Claim,0
South East,Orissa,Urban,Bhubaneswar,Business,AC,1,2,0,0,0,0,7000,12,193,Dealer,7,Claim,0
South East,Orissa,Urban,Bhubaneswar,Business,AC,2,2,2,0,0,0,15000,12,197,Internet,4,Claim,0
South East,Orissa,Urban,Bhubaneswar,Personal,TV,0,0,0,2,1,0,7000,12,32,Manufacturer,14,Claim,0
South East,Orissa,Urban,Bhubaneswar,Personal,TV,0,0,0,1,0,0,2000,12,365,Internet,5,Complaint,0
South East,Orissa,Urban,Bhubaneswar,Personal,AC,0,1,0,0,0,0,2000,12,61,Dealer,24,Claim,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,AC,1,1,0,0,0,0,4000,15,170,Manufacturer,19,Claim,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,AC,2,2,2,0,0,0,15000,15,303,Internet,7,Complaint,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,TV,0,0,0,2,1,0,7000,15,330,Dealer,8,Claim,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,AC,1,1,0,0,0,0,4000,15,79,Dealer,7,Claim,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,TV,0,0,0,1,0,1,4000,15,26,Manufacturer,23,Complaint,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,AC,2,0,0,0,0,0,5000,15,45,Internet,24,Claim,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,TV,0,0,0,2,1,0,7000,15,287,Dealer,1,Claim,0
South,Andhra Pradesh,Urban,Vijayawada,Business,AC,1,0,0,0,0,0,2000,15,224,Manufacturer,23,Complaint,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,TV,0,0,0,2,0,0,5000,15,275,Internet,21,Claim,0
South,Andhra Pradesh,Urban,Vijayawada,Business,AC,2,0,0,0,0,0,5000,15,315,Dealer,3,Claim,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,TV,0,0,0,1,1,1,6000,15,301,Manufacturer,3,Complaint,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,AC,1,0,0,0,0,0,2000,15,356,Internet,13,Claim,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,TV,0,0,0,1,0,0,2000,15,301,Dealer,18,Claim,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,AC,1,2,0,0,0,0,7000,15,333,Internet,24,Complaint,0
South,Andhra Pradesh,Urban,Vijayawada,Personal,TV,0,0,0,0,1,1,4000,15,103,Manufacturer,16,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,AC,2,0,0,0,0,0,5000,10,288,Dealer,18,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,TV,0,0,0,0,0,0,0,10,125,Internet,1,Complaint,0
North East,Uttar Pradesh,Urban,Lucknow,Business,AC,1,0,0,0,0,0,2000,10,148,Manufacturer,24,Claim,1
North East,Uttar Pradesh,Urban,Lucknow,Personal,TV,0,0,0,2,0,0,5000,10,291,Dealer,1,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,AC,1,0,0,0,0,0,2000,10,180,Internet,22,Complaint,0
North East,Uttar Pradesh,Urban,Lucknow,Business,TV,0,0,0,1,1,0,4000,10,81,Internet,21,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,TV,0,0,0,1,0,0,2000,10,46,Manufacturer,8,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,AC,2,0,0,0,0,0,5000,10,147,Dealer,22,Complaint,0
North East,Uttar Pradesh,Urban,Lucknow,Business,AC,1,0,0,0,0,0,2000,10,159,Dealer,3,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,TV,0,0,0,1,1,0,4000,10,287,Manufacturer,15,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,AC,2,0,0,0,0,0,5000,10,271,Dealer,2,Complaint,0
North East,Uttar Pradesh,Urban,Lucknow,Business,AC,2,2,0,0,0,0,10000,10,206,Dealer,17,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,AC,1,0,0,0,0,0,2000,10,300,Manufacturer,14,Complaint,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,AC,2,0,0,0,0,0,5000,10,257,Internet,25,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Business,AC,1,1,0,0,0,0,4000,10,131,Dealer,1,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,TV,0,0,0,0,0,0,0,10,340,Manufacturer,10,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,TV,0,0,0,2,0,0,5000,10,345,Dealer,2,Complaint,0
North East,Uttar Pradesh,Urban,Lucknow,Business,TV,0,0,0,2,1,1,9000,10,276,Dealer,8,Claim,0
North East,Uttar Pradesh,Urban,Lucknow,Personal,AC,2,0,0,0,0,0,5000,10,171,Manufacturer,4,Claim,0
North East,West Bengal,Urban,Kolkata,Personal,TV,0,0,0,1,0,0,2000,10,299,Dealer,9,Complaint,0
North East,West Bengal,Urban,Kolkata,Personal,AC,1,1,0,0,0,0,4000,10,335,Dealer,14,Claim,0
North East,West Bengal,Urban,Kolkata,Personal,AC,1,0,0,0,0,0,2000,10,21,Manufacturer,24,Claim,0
North East,West Bengal,Urban,Kolkata,Personal,AC,2,0,0,0,0,0,5000,10,55,Dealer,21,Claim,0
North East,West Bengal,Urban,Kolkata,Personal,AC,1,0,0,0,0,0,2000,10,212,Dealer,4,Complaint,0
North East,West Bengal,Urban,Kolkata,Personal,AC,2,0,0,0,0,0,5000,10,190,Manufacturer,6,Claim,0
North East,West Bengal,Urban,Kolkata,Personal,TV,0,0,0,0,1,1,4000,10,275,Dealer,11,Claim,0
North East,West Bengal,Urban,Kolkata,Business,AC,1,2,0,0,0,0,7000,10,151,Dealer,19,Complaint,0
North East,West Bengal,Urban,Kolkata,Business,TV,0,0,0,0,1,1,4000,10,153,Internet,22,Claim,0
North East,West Bengal,Urban,Kolkata,Business,TV,0,0,0,2,1,1,9000,10,160,Manufacturer,19,Claim,0
South,Karnataka,Urban,Bangalore,Business,TV,0,0,0,1,1,1,15000,10,60,Manufacturer,0.5,Complaint,1
West,Rajasthan,Rural,Jaipur,Business,AC,0,0,0,0,0,0,10000,12,10,Dealer,1,Claim,0
East,Uttar Pradesh,Urban,Lucknow,Personal,AC,0,1,1,0,0,0,50000,13,12,Manufacturer,1.5,Claim,1
North,Delhi,Urban,New Delhi,Personal,AC,0,1,0,0,0,0,20000,15,15,Manufacturer,2.5,Claim,0
North East,Jharkhand,Rural,Ranchi,Personal,TV,0,0,0,0,0,0,25000,15,6,Dealer,1.3,Complaint,0
North West,Kerala,Urban,Kochi,Personal,TV,0,0,0,0,0,0,12000,14,3,Internet,1.4,Complaint,0
South East,Tamil Nadu,Urban,Chennai,Business,TV,0,0,0,1,1,1,15000,12,4,Manufacturer,1.6,Complaint,1
East,Bihar,Rural,Patna,Personal,AC,0,0,0,0,0,0,25000,13,4,Dealer,0.5,Complaint,0
North East,Gujarat,Rural,Vadodara,Personal,AC,1,1,0,0,0,0,15000,15,16,Manufacturer,1.5,Complaint,0
North West,Karnataka,Urban,Bangalore,Personal,TV,0,0,0,1,1,1,10000,14,9,Dealer,2.5,Claim,0
South,Delhi,Urban,New Delhi,Business,TV,0,0,0,0,0,0,25000,10,18,Dealer,1.6,Complaint,0
West,Andhra Pradesh,Urban,Hyderabad,Business,AC,0,0,0,0,0,0,12000,12,60,Internet,2.6,Complaint,0
East,Gujarat,Rural,Vadodara,Personal,TV,0,0,0,2,2,2,15000,13,10,Manufacturer,2.4,Complaint,0
North,Andhra Pradesh,Rural,Hyderabad,Personal,AC,0,0,2,0,0,0,10000,15,12,Dealer,6.5,Claim,0
South West,Tamil Nadu,Rural,Chennai,Business,TV,0,0,0,1,1,1,12000,13,4,Internet,2.5,Complaint,0
South,Delhi,Rural,New Delhi,Business,TV,0,0,0,0,0,0,15000,10,5,Manufacturer,1.3,Complaint,1
East,Karnataka,Urban,Bangalore,Personal,AC,0,0,0,0,0,0,50000,13,7,Manufacturer,1.6,Claim,1
North East,Delhi,Urban,New Delhi,Personal,AC,0,0,0,0,0,0,25000,15,21,Dealer,2.4,Complaint,0
North West,Delhi,Urban,New Delhi,Personal,AC,0,0,0,0,0,0,12000,14,16,Internet,6.5,Complaint,0
South East,Kerala,Urban,Kochi,Business,AC,0,0,0,0,0,0,15000,12,9,Manufacturer,0.5,Complaint,0
South,Bihar,Urban,Purnea,Business,TV,0,0,0,0,1,0,50000,10,14,Manufacturer,1.5,Claim,0
West,Maharashtra,Rural,Mumbai,Business,TV,0,0,0,0,2,0,20000,12,18,Manufacturer,2.5,Claim,1
North,Bihar,Urban,Purnea,Personal,AC,0,1,1,0,0,0,0,15,10,Internet,1.4,Complaint,0
South East,Maharashtra,Urban,Mumbai,Business,AC,0,0,0,0,0,0,50000,12,6,Manufacturer,2.4,Claim,0
South West,Kerala,Rural,Kochi,Business,AC,0,0,0,0,0,0,20000,13,3,Manufacturer,6.5,Claim,0
East,Maharashtra,Urban,Mumbai,Personal,TV,0,0,0,0,0,0,15000,13,18,Manufacturer,1.5,Complaint,0
North West,Maharashtra,Urban,Mumbai,Personal,TV,0,0,0,0,2,0,20000,14,21,Manufacturer,1.4,Claim,0
South,Kerala,Rural,Kochi,Business,AC,0,0,0,0,0,0,15000,10,19,Manufacturer,2.4,Other,1
East,Andhra Pradesh,Urban,Hyderabad,Personal,TV,0,0,0,0,0,2,50000,13,18,Manufacturer,0.5,Complaint,1
North,Maharashtra,Rural,Pune,Personal,TV,0,0,0,0,0,1,20000,15,60,Manufacturer,1,Claim,1
North East,Tamil Nadu,Urban,Chennai,Personal,TV,0,0,0,0,0,2,25000,15,10,Dealer,1.5,Claim,0
North West,Gujarat,Urban,Vadodara,Personal,AC,0,0,0,0,0,0,12000,14,12,Internet,2.5,Claim,0
South East,Kerala,Rural,Kochi,Business,TV,0,0,0,0,0,2,15000,12,15,Manufacturer,1.3,Complaint,0
South West,Andhra Pradesh,Urban,Hyderabad,Business,AC,0,0,0,0,0,0,10000,13,6,Dealer,1.4,Complaint,0
West,Gujarat,Urban,Vadodara,Business,AC,0,0,0,0,0,0,20000,12,4,Manufacturer,2.6,Claim,0
East,Andhra Pradesh,Urban,Hyderabad,Personal,TV,0,0,0,0,0,0,25000,13,5,Dealer,2.4,Claim,0
North,Maharashtra,Rural,Pune,Personal,TV,0,0,0,0,0,0,12000,15,18,Internet,6.5,Complaint,0
North East,Tamil Nadu,Rural,Chennai,Personal,TV,0,0,0,0,0,0,15000,15,7,Manufacturer,0.5,Claim,0
North West,Tamil Nadu,Rural,Chennai,Personal,TV,0,0,0,0,0,0,10000,14,4,Dealer,1,Complaint,0
South East,Bihar,Rural,Patna,Business,AC,0,0,0,0,0,0,50000,12,21,Manufacturer,1.5,Complaint,0
South West,Maharashtra,Urban,Pune,Business,TV,0,0,0,0,0,0,20000,13,16,Manufacturer,2.5,Other,1
South,Maharashtra,Rural,Pune,Business,AC,0,0,0,0,0,0,25000,10,9,Dealer,1.3,Other,0
West,Bihar,Urban,Patna,Business,AC,0,0,0,0,0,0,12000,12,19,Internet,1.4,Complaint,0
East,Kerala,Urban,Kochi,Personal,AC,0,0,0,0,0,0,15000,13,14,Manufacturer,1.6,Claim,1
North,Andhra Pradesh,Urban,Hyderabad,Personal,TV,0,0,0,1,1,1,10000,15,18,Dealer,2.6,Claim,0
North East,Tamil Nadu,Rural,Chennai,Personal,TV,0,0,0,1,1,1,50000,15,60,Manufacturer,2.4,Claim,1
North West,Gujarat,Rural,Ahmedabad,Personal,TV,0,0,0,1,1,1,20000,14,10,Manufacturer,6.5,Complaint,0
South East,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,0,0,0,25000,12,12,Dealer,0.5,Complaint,0
South West,Delhi,Rural,New Delhi,Business,AC,0,0,0,0,0,0,12000,13,15,Internet,1,Claim,0
South,Kerala,Urban,Kochi,Business,TV,0,0,0,0,0,0,15000,10,6,Manufacturer,1.5,Claim,0
West,Andhra Pradesh,Rural,Hyderabad,Business,AC,0,0,0,0,0,0,10000,12,3,Dealer,2.5,Claim,0
East,Tamil Nadu,Rural,Chennai,Personal,AC,0,0,0,0,0,0,50000,13,4,Manufacturer,1.3,Complaint,0
North,Kerala,Rural,Kochi,Personal,AC,0,0,0,0,0,0,20000,15,5,Manufacturer,1.4,Claim,0
North East,Maharashtra,Urban,Pune,Personal,TV,0,0,0,0,0,0,25000,15,18,Dealer,1.6,Complaint,0
North West,Tamil Nadu,Rural,Chennai,Personal,TV,0,0,0,0,0,0,12000,14,7,Internet,2.6,Complaint,0
South East,Kerala,Urban,Kochi,Business,TV,0,0,0,0,0,0,15000,12,4,Manufacturer,2.4,Other,0
South West,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,0,0,0,10000,13,21,Dealer,6.5,Other,0
South,Bihar,Urban,Purnea,Business,AC,0,0,0,0,0,0,50000,10,16,Manufacturer,0.5,Complaint,0
West,Kerala,Urban,Kochi,Business,TV,0,0,0,0,0,0,20000,12,9,Manufacturer,1,Claim,0
East,Tamil Nadu,Urban,Chennai,Personal,AC,0,0,0,0,0,0,25000,13,19,Dealer,1.5,Claim,0
North,Gujarat,Rural,Vadodara,Personal,AC,1,1,1,0,0,0,12000,15,14,Internet,2.5,Claim,0
North East,Andhra Pradesh,Urban,Hyderabad,Personal,AC,1,1,1,0,0,0,15000,15,18,Manufacturer,1.3,Complaint,0
North West,Kerala,Urban,Kochi,Personal,TV,0,0,0,0,0,0,10000,14,60,Dealer,1.4,Complaint,0
South East,Maharashtra,Rural,Pune,Business,TV,0,0,0,0,0,0,50000,12,10,Manufacturer,1.6,Claim,0
South West,Tamil Nadu,Urban,Chennai,Business,TV,0,0,0,0,0,0,20000,13,12,Manufacturer,2.6,Claim,0
South,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,0,0,0,25000,10,15,Dealer,2.4,Claim,0
West,Bihar,Rural,Purnea,Business,AC,0,0,0,0,0,0,12000,12,6,Internet,6.5,Complaint,0
East,Tamil Nadu,Rural,Chennai,Personal,TV,0,0,0,0,0,0,15000,13,3,Manufacturer,0.5,Complaint,0
North,Andhra Pradesh,Urban,Hyderabad,Personal,AC,0,0,0,0,0,0,10000,15,4,Dealer,1,Other,0
North East,Kerala,Urban,Kochi,Personal,AC,0,0,0,0,0,0,50000,15,5,Manufacturer,1.5,Other,0
North West,Kerala,Urban,Kochi,Personal,AC,0,0,0,0,0,0,20000,14,18,Manufacturer,2.5,Other,0
South East,Gujarat,Urban,Ahmedabad,Business,TV,0,0,0,0,0,0,25000,12,7,Dealer,1.3,Other,0
South West,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,0,0,0,12000,13,4,Internet,1.4,Other,0
South,Tamil Nadu,Rural,Chennai,Business,TV,0,0,0,0,0,0,15000,10,21,Manufacturer,1.6,Other,0
West,Andhra Pradesh,Urban,Hyderabad,Business,TV,0,0,0,0,0,0,10000,12,16,Dealer,2.6,Other,0
East,Kerala,Rural,Kochi,Personal,AC,0,0,0,0,0,0,50000,13,9,Manufacturer,2.4,Other,0
North,Gujarat,Rural,Ahmedabad,Personal,TV,0,0,0,0,0,1,20000,15,19,Manufacturer,6.5,Other,0
East,Tamil Nadu,Rural,Chennai,Personal,TV,0,0,0,0,0,0,0,13,3,Manufacturer,0.5,Complaint,0
North East,Gujarat,Rural,Ahmedabad,Personal,TV,0,0,0,1,1,1,0,15,12,Manufacturer,1.6,Complaint,0
South,Tamil Nadu,Urban,Chennai,Personal,TV,0,0,0,2,0,0,0,15,254,Dealer,9,Claim,0
East,Uttar Pradesh,Urban,Lucknow,Personal,AC,1,1,1,0,0,0,50000,13,12,Manufacturer,1.5,Claim,1
South,Andhra Pradesh,Urban,Vijayawada,Personal,AC,2,2,2,0,0,0,0,15,303,Internet,7,Complaint,0
